strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Sticky Boof,Anesia Seeds,"Potent hybrid with 37.5% THC. High yield, quick flowering time. Ideal for experienced users seeking relaxation.",35.8,28.08,40.0,3 Feminised Seeds (GBP 35.80) | 5 Feminised Seeds (GBP 55.80) | 10 Feminised Seeds (GBP 104.00) | 50 Feminised Seeds (GBP 494.00) | 100 Feminised Seeds (GBP 936.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Sticky_Boof_65fdd4aa56d2e_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,"Appetite Stimulant, Creative, Depression, Euphoric, General Pain, Relaxing, Stress Relief, Uplifting","Berry, Cherry, Citrus, Earthy, Fruity, Fuel, Gassy, Lemon, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Short (up to 55 days),The End of September,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Violet Face,Anesia Seeds,"Luxurious and potent strain with THC levels up to 35%. High yields, quick flowering time, and relaxing effects.",32.8,28.08,40.0,3 Feminised Seeds (GBP 32.80) | 5 Feminised Seeds (GBP 51.40) | 10 Feminised Seeds (GBP 95.72) | 50 Feminised Seeds (GBP 454.67) | 100 Feminised Seeds (GBP 861.48),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Violet_Face_65fddaca2caf5_120x140.jpg,"Experience the exotic blend of Blue Face and Frozen Black Cherry with Anesia Seeds' feminized Violet Face strain. This cannabis delivers a sunny yet cool hit of creamy, tropical, and cherry flavors, boasting THC levels up to 35% and substantial yields both indoors (600g/m²) and outdoors (900 – 1200g per plant). Ready for harvest in just 8 – 9 weeks by the end of September, Violet Face offers a balanced yet potent experience, perfect for relaxing, creativity, or easing into sleep.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,"Creative, Relaxing","Banana, Cake, Cherry, Dairy, Fruity, Grape, Orange, Sweet",Relaxing,Mediterranean,Citrus,up to 35%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of September,8 – 9 weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Grape Ape,Royal Queen Seeds,"Indica dominant strain with relaxing high, blueberry and candy flavors, short flowering time, and high yields.",27.2,28.08,40.0,3 Feminised Seeds (GBP 27.20) | 5 Feminised Seeds (GBP 41.60) | 10 Feminised Seeds (GBP 75.80) | 50 Feminised Seeds (GBP 360.05) | 100 Feminised Seeds (GBP 682.20),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Grape_Ape_6603099a12441_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,Sativa 10% Indica 90%,Feminised,"Indoor, Outdoor",Super Strength,"Body Stone, Cerebral, Relaxing","Berry, Earthy, Skunky, Sweet","Calming, Physically Relaxing, Sleepy",Short Summers,Citrus,20%,Low,450 - 500 gr/m2,500 - 600 gr/plant,60 - 100 cm,160 - 190 cm,"Short (up to 80cm), Medium (81cm - 140cm)","Short (up to 55 days), Medium (56 to 90 days)",The End of September,7 - 9 weeks,Late September,Afghani x Mendocino Purps x Skunk 1,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Guava Auto,FastBuds,"Resilient strain with 28% THC. Sweet, fruity taste and uplifting effects. Ideal for novice growers and hash makers.",32.2,28.08,40.0,3 Feminised Seeds (GBP 32.20) | 5 Feminised Seeds (GBP 49.20),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Guava_Auto_661fa074c2fe7_120x140.jpg,"Guava Auto™ is a 50/50 hybrid autoflower that combines resilience against pests and mold with high yield potential and potency. It's perfect for novice growers or those short on time, yielding up to 550 gr/m2 in just 8-9 weeks. The strain features a high THC content of 28%, offering a gradual onset of mood-elevating effects, sociability, and euphoria. It excels in resin production and is ideal for hash making and extractions, delivering sweet tropical guava and fruity flavors.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,50% Indica/50% Sativa,Autoflowering,Indica Dominant,"Indoor, Outdoor",Super Strength,"Body Stone, Creative, Euphoric, Focused, Happy, Relaxing, Social, Uplifting","Fruity, Sweet",Relaxing,Mediterranean,Citrus,Up to 28%,< 1%,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Apples and Bananas,Flavour Chasers,"Sweet and fruity strain with high THC levels. Ideal for creativity and alleviating depression, stress, and pain. Short and compact growth.",67.0,28.08,40.0,5 Feminised Seeds (GBP 67.00) | 25 Feminised Seeds (GBP 318.25) | 50 Feminised Seeds (GBP 603.00),https://www.seed-city.com/components/com_virtuemart/themes/yagendoo_VaMazing/images/pic-coming.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Banana, Tangy",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Auto Rainbow Mints,OO Seeds,"High yielding plant with resinous buds. Sweet, minty aroma. THC: 23%. Indoor yield: 450-500g/m2. Outdoor harvest: April-November, 100-130cm tall.",13.0,28.08,40.0,3 Feminised Seeds (GBP 13.00) | 5 Feminised Seeds (GBP 17.40) | 25 Feminised Seeds (GBP 82.65) | 50 Feminised Seeds (GBP 156.60),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Auto_Rainbow_Min_662297e80dca6_120x140.jpg,"OO Seeds introduces Rainbow Mints Auto, a hybrid cross between Rainbow Sherbet RS11 and Animal Mintz, known for its large mint green buds accented with orange hairs. This strain emits a captivating aroma with mint and spice notes. It carries a THC content of 20-25% and provides a well-balanced effect of calmness and mood upliftment, attributed to its 65% Indica and 35% Sativa lineage.
Rainbow Mints Auto is an adaptable strain for both indoor and outdoor growers, promising excellent yields and robustness in various conditions. Ideal for those seeking stress relief or muscle relaxation, it will be available in the commercial seed market by May 2024.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,Relaxing,"Minty, Sweet",Relaxing,Mediterranean,Citrus,23%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,"Short (up to 80cm), Medium (81cm - 140cm)",Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Jokerz,Cali Weed Seeds,"Potent hybrid with 65% Indica and 35% Sativa lineage. Flowering time of 8-9 weeks, yields 500-600g/m2, THC levels 25-30%.",50.0,28.08,40.0,5 Feminised Seeds (GBP 50.00) | 25 Feminised Seeds (GBP 237.50) | 50 Feminised Seeds (GBP 450.00),https://www.seed-city.com/components/com_virtuemart/themes/yagendoo_VaMazing/images/pic-coming.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,Relaxing,"Citrus, Dairy, Earthy, Floral, Herbal, Spicy, Sweet, Vanilla",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Zkunk,Grounded Genetics,"New hybrid Zkunk by Grounded Genetics with Exodus Cheese and Zunami genetics. 9-10 week flowering time, medium stretch.",80.0,28.08,40.0,7 Feminised Seeds (GBP 80.00) | 35 Feminised Seeds (GBP 380.00) | 70 Feminised Seeds (GBP 720.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Zkunk_664cd229e94f1_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9-10 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
HG23,DNA Genetics Seeds,"Potent kush hybrid with earthy and fruity notes. Soothing indica effects and tranquil cerebral buzz. High yields of dank, bud-bearing plants.",65.0,28.08,40.0,5 Feminised Seeds (GBP 65.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/HG23_66857e1adc281_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Cerebral, Stress Relief","Earthy, Fruity",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Strawberry Milk and Qookies Remix Auto,Night Owl Seeds,"Limited edition strain with tall growth, strong resin production, sweet, fruity aroma. Ideal for hash production with high yields.",48.0,28.08,40.0,3 Feminised Seeds (GBP 48.00) | 15 Feminised Seeds (GBP 228.00) | 30 Feminised Seeds (GBP 432.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Strawberry_Milk__669e8fcf62070_120x140.jpg,"Strawberry Milk and Qookies Remix Auto, crafted by Dark Owl Seeds, represents a unique autoflowering cannabis development primarily for the UK. As a limited edition F1 hybrid, it descends from Bruce Banna #3 Auto F3 crossed with Milk and Cookies F1. The strain, originating from a distinguished lineage involving Bruce Banner Auto and Milk and Cookies, showcases robust growth, unparalleled resin production, and an alluring sweet, creamy, and fruity aroma with hints of Strawberry OG.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Berry, Dairy, Gassy, Strawberry, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Durban Poison Auto,Auto Seeds,Durban Poison genetics combined with Ruderalis for quick growth and potent effects. Energizing and uplifting stone.,15.9,28.08,40.0,3 Feminised Seeds (GBP 15.90) | 5 Feminised Seeds (GBP 24.30) | 25 Feminised Seeds (GBP 115.43) | 50 Feminised Seeds (GBP 218.70),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Durban_Poison_Au_66a3e517ed300_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Sativa Dominant,80% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,"Creative, Uplifting",Sweet,Relaxing,Mediterranean,Citrus,25%+,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of September,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Godfather OG Auto,Auto Seeds,"Indica strain, high THC, euphoric effects, medium height. Finishes in <12 weeks.",23.0,28.08,40.0,3 Feminised Seeds (GBP 23.00) | 5 Feminised Seeds (GBP 33.00) | 25 Feminised Seeds (GBP 156.75) | 50 Feminised Seeds (GBP 297.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Godfather_OG_Aut_66a3e5a14187f_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,Indica Dominant Hybrid,Indica Dominant,"Indoor, Outdoor",Super Strength,"Euphoric, Uplifting",Sweet,Relaxing,Mediterranean,Citrus,25 – 30 % (reach up to 34%),Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),"Beginning of October, Middle of October, The End of October",8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Ghost Train Bomb,Bomb Seeds,"Potent, energizing Sativa with high yields. Fast-acting, uplifting high perfect for improving mood. Rich citrus flavor and refreshing aroma.",29.8,28.08,40.0,5 Feminised Seeds (GBP 29.80) | 10 Feminised Seeds (GBP 55.80) | 50 Feminised Seeds (GBP 265.05) | 100 Feminised Seeds (GBP 502.20),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Ghost_Train_Bomb_66a3ea485a560_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,Sativa/Indica (75/25),Indica Dominant,"Indoor, Outdoor",Super Strength,"Creative, Depression, Relaxing, Stress Relief, Uplifting","Citrus, Earthy, Piney, Sweet",Relaxing,Mediterranean,Citrus,Very High (25%+),Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,"Medium (81cm - 140cm), Tall (140cm plus)",Medium (56 to 90 days),The End of September,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
